Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Assignee,Labels
Story,"US-EP7-03 — Driver sees message status","User Story:\nAs a Company Driver, I want to see the status of messages I send (sent, delivered, read), so that I know if the dispatcher received my message.\n\nScope Notes:\nStatus indicators in UI.\n\nPRD Requirement(s): FR-8\n\nDependencies:\n- US-EP7-01, US-EP7-02\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Add status indicators (checkmarks, icons) to sent messages\nDesign Constraints:\n- Clear, universally understood iconography\n- Subtle, non-distracting\n\nAcceptance Criteria:\n- Given I send a message\n  When viewing the thread\n  Then I see status indicators (sent → delivered → read)","","Read Receipts & Status","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-7,fr_FR-8,prio_should,phase_2"
Story,"US-EP7-04 — Dispatcher sees message status","User Story:\nAs a Dispatcher, I want to see the status of messages I send (sent, delivered, read), so that I know if the driver received my message.\n\nScope Notes:\nStatus indicators in UI.\n\nPRD Requirement(s): FR-8\n\nDependencies:\n- US-EP7-01, US-EP7-02\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Add status indicators to sent messages in web UI\nDesign Constraints:\n- Consistent with mobile status indicators\n\nAcceptance Criteria:\n- Given I send a message\n  When viewing the thread\n  Then I see status indicators (sent → delivered → read)","","Read Receipts & Status","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-7,fr_FR-8,prio_should,phase_2"
Story,"US-EP8-01 — Dispatcher selects multiple drivers for broadcast","User Story:\nAs a Dispatcher, I want to select multiple drivers from the driver list, so that I can send them all the same message.\n\nScope Notes:\nMulti-select UI; broadcast send in US-EP8-02.\n\nPRD Requirement(s): FR-9\n\nDependencies:\n- US-EP3-01\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add multi-select mode to driver list\n- Show selection count and 'Compose Broadcast' action\nDesign Constraints:\n- Clear differentiation from 1:1 chat initiation\n- Efficient for large selections\n\nAcceptance Criteria:\n- Given I am in the chat section\n  When I enable broadcast mode\n  Then I can select multiple drivers via checkboxes or multi-select\n- Given I have selected drivers\n  When I view my selection\n  Then I see the count and list of selected drivers","","Broadcast Messaging","Could","","initiative_ew-navigation-chat,source_cursor,ep_EP-8,fr_FR-9,prio_could,phase_2"
Story,"US-EP8-02 — Dispatcher sends broadcast message","User Story:\nAs a Dispatcher, I want to compose and send a message to all selected drivers, so that I can announce information or updates efficiently.\n\nScope Notes:\nOne-way broadcast; no group replies.\n\nPRD Requirement(s): FR-9\n\nDependencies:\n- US-EP8-01, EP-1\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Compose area for broadcast message\n- Confirmation before send (showing recipient count)\nDesign Constraints:\n- Clear indication that this is a broadcast, not a group chat\n\nAcceptance Criteria:\n- Given I have selected multiple drivers\n  When I compose a message and click send\n  Then the message is delivered to all selected drivers\n- Given a broadcast is sent\n  When drivers receive it\n  Then each driver sees it as a 1:1 message from the dispatcher (not a group thread)","","Broadcast Messaging","Could","","initiative_ew-navigation-chat,source_cursor,ep_EP-8,fr_FR-9,prio_could,phase_2"
Story,"US-EP9-01 — Dispatcher searches messages by keyword","User Story:\nAs a Dispatcher, I want to search message history by keyword, so that I can find specific conversations or information.\n\nScope Notes:\nKeyword search across all conversations.\n\nPRD Requirement(s): FR-10\n\nDependencies:\n- EP-5, DATA (indexing)\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add search input to chat section\n- Display search results with message context\nDesign Constraints:\n- Responsive for large result sets\n- Clear indication of which conversation contains the result\n\nAcceptance Criteria:\n- Given I enter a keyword in the search box\n  When I submit the search\n  Then I see a list of messages containing that keyword\n- Given many results\n  When displayed\n  Then results are paginated and load within 2s","","Search & Filtering","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-9,fr_FR-10,prio_should,phase_2"
Story,"US-EP9-02 — Dispatcher filters conversations by driver","User Story:\nAs a Dispatcher, I want to filter conversations by driver, so that I can quickly find chats with a specific person.\n\nScope Notes:\nFilter in conversation list.\n\nPRD Requirement(s): FR-10\n\nDependencies:\n- US-EP3-03\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add driver filter dropdown or search to conversation list\nDesign Constraints:\n- Quick access without disrupting list view\n\nAcceptance Criteria:\n- Given I am viewing the conversation list\n  When I select a driver filter\n  Then only conversations with that driver are shown","","Search & Filtering","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-9,fr_FR-10,prio_should,phase_2"
Story,"US-EP9-03 — Dispatcher filters conversations by date range","User Story:\nAs a Dispatcher, I want to filter messages by date range, so that I can find communication from a specific period.\n\nScope Notes:\nDate picker UI.\n\nPRD Requirement(s): FR-10\n\nDependencies:\n- US-EP9-01\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add date range picker to search/filter controls\nDesign Constraints:\n- Standard date picker component\n- Works in combination with keyword search\n\nAcceptance Criteria:\n- Given I select a date range\n  When I apply the filter\n  Then only messages within that range are shown","","Search & Filtering","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-9,fr_FR-10,prio_should,phase_2"
Story,"US-EP10-01 — Performance optimization for high-volume fleets","User Story:\nAs an engineer, I want to optimize messaging performance for customers with large fleets, so that latency targets are maintained at scale.\n\nScope Notes:\nLoad testing, tuning, infrastructure scaling.\n\nPRD Requirement(s): Phase 3 scope\n\nDependencies:\n- EP-1, EP-5\n\nAcceptance Criteria:\n- Given a customer with 500+ drivers\n  When message volume is high\n  Then P95 latency remains <5s\n- Given load testing\n  When simulating peak traffic\n  Then system handles load without degradation","","Scale & Analytics","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-10,prio_should,phase_3"
Story,"US-EP10-02 — Adoption analytics dashboard","User Story:\nAs a Product Manager, I want an analytics dashboard showing chat adoption metrics, so that I can track feature success.\n\nScope Notes:\nDashboard with key metrics; not a self-service BI tool.\n\nPRD Requirement(s): Phase 3 scope\n\nDependencies:\n- EP-5\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display key adoption metrics (Customer Adoption Rate, Chats Initiated, Messages per Week, Active Users)\n- Enable trend analysis\nDesign Constraints:\n- Internal tool; can use existing dashboard framework\n- Refresh at least daily\n\nAcceptance Criteria:\n- Given the dashboard is live\n  When I access it\n  Then I see: Customer Adoption Rate, Chats Initiated, Messages per Week, Active Users\n- Given metrics\n  When updated\n  Then dashboard refreshes at least daily","","Scale & Analytics","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-10,prio_should,phase_3"
Task,"NFR-01 — CFR/ANR guardrail monitoring for chat feature","Statement:\nThe chat feature must not degrade Crash-Free Rate (CFR) or increase ANR rates in EW Navigation App.\n\nRelated to: EP-2, NFR (Reliability)\n\nAcceptance Criteria:\n- Given the chat feature is released\n  When monitoring CFR/ANR\n  Then CFR ≥ pre-release baseline and ANR ≤ pre-release baseline\n- Given a regression is detected\n  When CFR drops or ANR increases significantly\n  Then rollback or hotfix is triggered","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,prio_must,nfr"
Task,"NFR-02 — GDPR compliance sign-off","Statement:\nMessage storage and retention must be reviewed and approved by Legal before go-live.\n\nRelated to: EP-5, NFR (Compliance)\n\nAcceptance Criteria:\n- Given the data retention policy is defined\n  When reviewed by Legal\n  Then sign-off is documented\n- Given GDPR requirements\n  When implemented\n  Then right-to-deletion and consent mechanisms are in place (or documented as out of scope for MVP)","","Message Persistence & History","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-5,prio_must,nfr"
Task,"INT-01 — CIAM integration for driver/dispatcher identity","Statement:\nChat must use CIAM for driver and dispatcher identity and company linkage.\n\nDepends on: CIAM team\nRelated epics: EP-2, EP-3\n\nAcceptance Criteria:\n- Given a driver opens chat\n  When identity is resolved\n  Then company linkage is confirmed via CIAM\n- Given a dispatcher opens chat\n  When driver list is fetched\n  Then only drivers linked to the dispatcher's company are shown (via CIAM)","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,ep_EP-3,prio_must,integration"
